scenario,timestamp_ms,frame_latency_ms,fps,theta_output,decision,jt_cm,djt_cm
democpt2,1750255508352,207.01336860656738,4.830605901112203,-12.086590897797091,KANAN RINGAN,12.24,-2.2799999999999994
democpt2,1750255508590,206.5134048461914,4.842300676533746,-12.059787478993675,KANAN RINGAN,12.24,0.0
democpt2,1750255508813,207.11636543273926,4.828203690764111,-12.079062332794845,KANAN RINGAN,10.68,-1.5600000000000005
democpt2,1750255509069,223.62518310546875,4.471768278120842,-12.065538523271034,KANAN RINGAN,11.04,0.35999999999999943
democpt2,1750255509305,206.25996589660645,4.848250583447094,-14.390693028401227,KANAN RINGAN,8.52,-2.5199999999999996
democpt2,1750255509614,277.99105644226074,3.5972380291583295,-13.032697979199986,KANAN RINGAN,9.719999999999999,1.1999999999999993
democpt2,1750255509881,237.07890510559082,4.218004969926015,-13.04304141354342,KANAN RINGAN,10.68,0.9600000000000009
democpt2,1750255510132,220.75390815734863,4.529931127141004,-13.019527243502935,KANAN RINGAN,10.799999999999999,0.11999999999999922
democpt2,1750255510423,262.94517517089844,3.8030741554776983,-13.022257402233095,KANAN RINGAN,11.4,0.6000000000000014
democpt2,1750255510696,251.6167163848877,3.9742987444059215,-10.717654525654527,KANAN RINGAN,9.959999999999999,-1.4400000000000013
democpt2,1750255510972,253.6325454711914,3.9427116821393255,-10.702350776677656,KANAN RINGAN,12.0,2.040000000000001
democpt2,1750255511213,220.2765941619873,4.539746965874271,-10.725308155342352,KANAN RINGAN,10.08,-1.92
democpt2,1750255511463,219.0701961517334,4.564746905632821,-10.73683132487236,KANAN RINGAN,nan,nan
democpt2,1750255511733,238.267183303833,4.196969075362856,-10.73532940916355,KANAN RINGAN,10.559999999999999,0.47999999999999865
democpt2,1750255511964,218.38951110839844,4.5789744888601644,-10.728305200906167,KANAN RINGAN,nan,nan
democpt2,1750255512200,222.2905158996582,4.49861747791075,-4.327723415697468,KANAN RINGAN,45.72,0
democpt2,1750255512420,203.87887954711914,4.904872943295172,-3.026633952495499,KANAN RINGAN,nan,nan
